Word;Coefficient;Target
c_ooop c_file;-4,243721963296702;Highest
c__ c_mdash c_charli;-7,827240901752812;Highest
c_fed c_rate;-4,243721963296702;Highest
c___ c_hous;-7,827240901752812;Highest
c_allow c_user c_spend;-4,243721963296702;Highest
c___ c_hous c_speaker;-7,827240901752812;Highest
c_wan c_na c_decryptor;-4,271892840263398;Highest
c___ c_p;-7,827240901752812;Highest
c_task c_forc;-4,271892840263398;Highest
c__ c__;-7,605392364814935;Low
c_lazarus c_group;-3,891820298110627;Low
c__ c__ c_mir_btc;-7,605392364814935;Low
c_soni c_pictur;-4,079031840198773;Low
c__ c_also;-7,605392364814935;Low
c_link c_north;-4,20419498315278;Low
c__ c_also c_come;-7,605392364814935;Low
c_payment c_compani;-4,238096534828461;Low
c__ c_aspx;-7,605392364814935;Low
c_link c_north c_korea;-4,2731878546397315;Low
c__ c_aspx c_eastern;-7,605392364814935;Low
c_lab c_said;-4,2731878546397315;Low
c__ c_averag;-7,605392364814935;Low
c_ip c_address;-4,2731878546397315;Low
c__ c_bithumb;-7,605392364814935;Low
c_exchang c_one;-4,2731878546397315;Low
c__ c_bithumb c_coinon;-7,605392364814935;Low
c_currenc c_mine;-4,2731878546397315;Low
c__ c_compani;-7,605392364814935;Low
c_attack c_hacker;-4,2731878546397315;Low
c__ c_compani c_gocopyright;-7,605392364814935;Low
c_world c_econom c_forum;-4,309555498810606;Low
c__ c_countri;-7,605392364814935;Low
c_world c_econom;-4,309555498810606;Low
c__ c_countri c_unit;-7,605392364814935;Low
c_use c_transact;-4,309555498810606;Low
c__ c_ethereum;-7,605392364814935;Low
c_total c_million;-4,309555498810606;Low
c__ c_ethereum c_rippl;-7,605392364814935;Low
c_europol c_said;-4,309555498810606;Low
c__ c__;-7,59488438721652;Lowest
c_fell c_low;-3,663058754492194;Lowest
c__ c__ c_mir_btc;-7,59488438721652;Lowest
c_long c_blockchain;-3,8106947532982587;Lowest
c__ c_also;-7,59488438721652;Lowest
c_declin c_sinc;-3,8572147689331513;Lowest
c__ c_also c_come;-7,59488438721652;Lowest
c_fell c_much;-3,8813123205122118;Lowest
c__ c_aspx;-7,59488438721652;Lowest
c_would c_stop;-3,9060049331025835;Lowest
c__ c_aspx c_eastern;-7,59488438721652;Lowest
c_document c_leak;-3,9060049331025835;Lowest
c__ c_compani;-7,59488438721652;Lowest
c_biggest c_one;-3,9313227410868734;Lowest
c__ c_compani c_gocopyright;-7,59488438721652;Lowest
c_analyst c_expect;-3,9313227410868734;Lowest
c__ c_countri;-7,59488438721652;Lowest
c_window c_updat;-3,957298227490134;Lowest
c__ c_countri c_unit;-7,59488438721652;Lowest
c_second c_time;-3,957298227490134;Lowest
c__ c_cryptocurr;-7,59488438721652;Lowest
c_leak c_us;-3,957298227490134;Lowest
c__ c_cryptocurr c_thefuturea;-7,59488438721652;Lowest
c_korean c_cryptocurr;-3,957298227490134;Lowest
c__ c_endurescopyright;-7,59488438721652;Lowest
c_ice c_tea;-3,957298227490134;Lowest
c__ c_endurescopyright c_associ;-7,59488438721652;Lowest
c_ukrain c_taiwan;-3,9839664745722954;Lowest
c__ c_mir_btc;-7,59488438721652;Lowest
c_market c_investor;-3,9839664745722954;Lowest
Word;Coefficient;Target
c__ c_endurescopyright;-7,836764783264067;High
c_bet c_bitcoin;-4,199178623537681;High
c__ c_endurescopyright c_associ;-7,836764783264067;High
c_still c_go;-4,225846870619842;High
c____ c_expert;-7,836764783264067;High
c_said c_sunday;-4,225846870619842;High
c____ c_expert c_global;-7,836764783264067;High
c_investor c_make;-4,225846870619842;High
c____ c_german;-7,836764783264067;High
c_actual c_bitcoin;-4,225846870619842;High
c____ c_german c_busi;-7,836764783264067;High
c_futur c_allow;-4,253245844807957;High
c____ c_indian c_prime;-7,836764783264067;High
c_issu c_press;-4,281416721774653;High
c____ c_mani;-7,836764783264067;High
c_russian c_govern;-4,310404258647905;High
c____ c_mani c_stock;-7,836764783264067;High
c_issu c_press c_releas;-4,310404258647905;High
c____ c_middl;-7,836764783264067;High
c_cent c_last;-4,310404258647905;High
c____ c_middl c_east;-7,836764783264067;High
c_said c_u;-4,340257221797586;High
c____ c_p c_britain;-7,836764783264067;High
c_inc c_said;-4,340257221797586;High
c____ c_p c_british;-7,836764783264067;High
c_close c_per;-4,340257221797586;High
c____ c_p c_canadian;-7,836764783264067;High
c_busi c_govern;-4,340257221797586;High
c____ c_p c_cyberattack;-7,836764783264067;High
c_bet c_futur;-4,340257221797586;High
c__ c_compani;-7,80057265467065;Highest
c_wan c_na;-3,971931258181555;Highest
c__ c_compani c_gocopyright;-7,80057265467065;Highest
c_wan c_na c_decryptor;-4,039372538977087;Highest
c__ c_endurescopyright;-7,80057265467065;Highest
c_na c_decryptor;-4,039372538977087;Highest
c__ c_endurescopyright c_associ;-7,80057265467065;Highest
c_street c_bank;-4,062903036387281;Highest
c___ c_pic;-7,80057265467065;Highest
c_critic c_infrastructur;-4,087000587966342;Highest
c___ c_pic c_twitter;-7,80057265467065;Highest
c_wide c_expect;-4,137011008541004;Highest
c____ c_bitcoin c_futur;-7,80057265467065;Highest
c_spread c_quick;-4,189654742026425;Highest
c____ c_britain;-7,80057265467065;Highest
c_specif c_target;-4,189654742026425;Highest
c____ c_britain c_health;-7,80057265467065;Highest
c_exchang c_cme;-4,189654742026425;Highest
c____ c_expert;-7,80057265467065;Highest
c_price c_yield;-4,21705371621454;Highest
c____ c_expert c_global;-7,80057265467065;Highest
c_nhs c_digit;-4,21705371621454;Highest
c____ c_franc;-7,80057265467065;Highest
c_wall c_street c_bank;-4,245224593181236;Highest
c____ c_franc c_auto;-7,80057265467065;Highest
c_us c_feder c_reserv;-4,245224593181236;Highest
c____ c_german;-7,80057265467065;Highest
c_u c_treasuri c_yield;-4,245224593181236;Highest
c____ c_german c_busi;-7,80057265467065;Highest
c_price c_yield c_percent;-4,245224593181236;Highest
c__ c_compani;-7,633369649679584;Low
c_lazarus c_group;-3,8267071599092644;Low
c__ c_compani c_gocopyright;-7,633369649679584;Low
c_version c_microsoft;-4,107009125063422;Low
c__ c_mdash;-7,633369649679584;Low
c_lab c_said;-4,167633746879858;Low
c__ c_mdash c_cryptotutor;-7,633369649679584;Low
c_older c_version c_microsoft;-4,199382445194438;Low
c___ c_pic;-7,633369649679584;Low
c_web c_browser;-4,232172268017429;Low
c___ c_pic c_twitter;-7,633369649679584;Low
c_wannacri c_malwar;-4,232172268017429;Low
c____ c_associ;-7,633369649679584;Low
c_transact c_secur;-4,232172268017429;Low
c____ c_associ c_press;-7,633369649679584;Low
c_link c_north;-4,232172268017429;Low
c____ c_australia;-7,633369649679584;Low
c_europol c_said;-4,232172268017429;Low
c____ c_australia c_govern;-7,633369649679584;Low
c_world c_econom c_forum;-4,26607381969311;Low
c____ c_bitcoin;-7,633369649679584;Low
c_said c_said;-4,26607381969311;Low
c____ c_bitcoin c_futur;-7,633369649679584;Low
c_proof c_concept;-4,26607381969311;Low
c____ c_danish;-7,633369649679584;Low
c_link c_north c_korea;-4,26607381969311;Low
c____ c_danish c_ship;-7,633369649679584;Low
c_user c_trade;-4,301165139504381;Low
c____ c_high;-7,633369649679584;Low
c_secret c_servic;-4,301165139504381;Low
c__ c_compani;-7,585281078639126;Lowest
c_long c_blockchain;-3,735133476929067;Lowest
c__ c_compani c_gocopyright;-7,585281078639126;Lowest
c_ice c_tea;-3,824080962945563;Lowest
c__ c_endurescopyright;-7,585281078639126;Lowest
c_long c_island c_ice;-3,8964016245251893;Lowest
c__ c_endurescopyright c_associ;-7,585281078639126;Lowest
c_long c_island;-3,8964016245251893;Lowest
c__ c_mdash c_cryptotutor;-7,585281078639126;Lowest
c_island c_ice c_tea;-3,8964016245251893;Lowest
c____ c_associ;-7,585281078639126;Lowest
c_island c_ice;-3,8964016245251893;Lowest
c____ c_associ c_press;-7,585281078639126;Lowest
c_half c_valu;-3,8964016245251893;Lowest
c____ c_australia;-7,585281078639126;Lowest
c_end c_week;-3,8964016245251893;Lowest
c____ c_australia c_govern;-7,585281078639126;Lowest
c_fell c_point;-3,9217194325094793;Lowest
c____ c_bitcoin;-7,585281078639126;Lowest
c_declin c_sinc;-3,9217194325094793;Lowest
c____ c_bitcoin c_futur;-7,585281078639126;Lowest
c_treasuri c_note;-3,94769491891274;Lowest
c____ c_britain;-7,585281078639126;Lowest
c_suspend c_trade;-3,94769491891274;Lowest
c____ c_britain c_health;-7,585281078639126;Lowest
c_market c_investor;-3,94769491891274;Lowest
c____ c_danish;-7,585281078639126;Lowest
c_yield c_year c_treasuri;-3,9743631659949012;Lowest
c____ c_danish c_ship;-7,585281078639126;Lowest
c_long c_blockchain c_corp;-3,9743631659949012;Lowest
Word;Coefficient;Target
c__ c_endurescopyright;-7,826044013518965;High
c_actual c_bitcoin;-4,088374395235597;High
c__ c_endurescopyright c_associ;-7,826044013518965;High
c_close c_per;-4,162482367389319;High
c__ c_https;-7,826044013518965;High
c_cent c_percent;-4,162482367389319;High
c__ c_https c_co;-7,826044013518965;High
c_contract c_expir;-4,188457853792579;High
c__ c_pic;-7,826044013518965;High
c_hour c_later;-4,215126100874741;High
c__ c_pic c_twitter;-7,826044013518965;High
c_send c_bitcoin;-4,242525075062855;High
c__ c_trumpvalu;-7,826044013518965;High
c_issu c_press;-4,242525075062855;High
c__ c_trumpvalu c_villag;-7,826044013518965;High
c_expir c_januari;-4,242525075062855;High
c____ c_expert;-7,826044013518965;High
c_work c_blockchain;-4,270695952029552;High
c____ c_expert c_global;-7,826044013518965;High
c_secur c_advis;-4,270695952029552;High
c____ c_german;-7,826044013518965;High
c_russel c_index c_smaller;-4,270695952029552;High
c____ c_german c_busi;-7,826044013518965;High
c_issu c_press c_releas;-4,270695952029552;High
c____ c_indian c_prime;-7,826044013518965;High
c_involv c_bitcoin;-4,270695952029552;High
c____ c_p c_britain;-7,826044013518965;High
c_index c_smaller c_compani;-4,270695952029552;High
c____ c_p c_british;-7,826044013518965;High
c_index c_smaller;-4,270695952029552;High
c__ c_endurescopyright;-7,824845691026856;Highest
c_wan c_na;-4,063645575333293;Highest
c__ c_endurescopyright c_associ;-7,824845691026856;Highest
c_share c_rose;-4,063645575333293;Highest
c__ c_pic;-7,824845691026856;Highest
c_wide c_expect;-4,087176072743487;Highest
c__ c_pic c_twitter;-7,824845691026856;Highest
c_wan c_na c_decryptor;-4,111273624322548;Highest
c____ c_bitcoin;-7,824845691026856;Highest
c_na c_decryptor;-4,111273624322548;Highest
c____ c_bitcoin c_futur;-7,824845691026856;Highest
c_ship c_giant;-4,135966236912919;Highest
c____ c_britain;-7,824845691026856;Highest
c_file c_demand;-4,16128404489721;Highest
c____ c_britain c_health;-7,824845691026856;Highest
c_us c_feder c_reserv;-4,213927778382631;Highest
c____ c_expert;-7,824845691026856;Highest
c_price c_yield c_percent;-4,213927778382631;Highest
c____ c_expert c_global;-7,824845691026856;Highest
c_secur c_updat;-4,241326752570746;Highest
c____ c_franc;-7,824845691026856;Highest
c_janet c_yellen;-4,241326752570746;Highest
c____ c_franc c_auto;-7,824845691026856;Highest
c_surg c_per c_cent;-4,269497629537442;Highest
c____ c_german;-7,824845691026856;Highest
c_surg c_per;-4,269497629537442;Highest
c____ c_german c_busi;-7,824845691026856;Highest
c_protect c_custom;-4,269497629537442;Highest
c____ c_global;-7,824845691026856;Highest
c_method c_payment;-4,269497629537442;Highest
c__ c_trumpvalu;-7,608374474380783;Low
c_lazarus c_group;-3,919495020266847;Low
c__ c_trumpvalu c_villag;-7,608374474380783;Low
c_compani c_make;-4,0820139497646215;Low
c____ c_bitcoin;-7,608374474380783;Low
c_link c_north;-4,142638571581056;Low
c____ c_bitcoin c_futur;-7,608374474380783;Low
c_secur c_invest;-4,207177092718627;Low
c____ c_even;-7,608374474380783;Low
c_clear c_settlement;-4,207177092718627;Low
c____ c_even c_talk;-7,608374474380783;Low
c_blockchain c_develop;-4,207177092718627;Low
c____ c_influenc;-7,608374474380783;Low
c_south c_africa;-4,2410786443943085;Low
c____ c_influenc c_elect;-7,608374474380783;Low
c_expert c_believ;-4,2410786443943085;Low
c____ c_make;-7,608374474380783;Low
c_bank c_use;-4,2410786443943085;Low
c____ c_make c_america;-7,608374474380783;Low
c_user c_trade;-4,276169964205579;Low
c____ c_p c_bitcoin;-7,608374474380783;Low
c_link c_north c_korea;-4,276169964205579;Low
c____ c_p c_britain;-7,608374474380783;Low
c_kasperski c_lab c_said;-4,276169964205579;Low
c____ c_p c_british;-7,608374474380783;Low
c_ip c_address;-4,276169964205579;Low
c____ c_p c_cyberattack;-7,608374474380783;Low
c_develop c_technolog;-4,276169964205579;Low
c____ c_p c_franc;-7,608374474380783;Low
c_u c_attorney;-4,312537608376454;Low
c__ c_endurescopyright;-7,594381242551817;Lowest
c_would c_stop;-3,7025609444411907;Lowest
c__ c_endurescopyright c_associ;-7,594381242551817;Lowest
c_third c_valu;-3,810191608633556;Lowest
c__ c_trumpvalu;-7,594381242551817;Lowest
c_fell c_low;-3,8331811268582547;Lowest
c__ c_trumpvalu c_villag;-7,594381242551817;Lowest
c_previous c_day;-3,880809175847509;Lowest
c____ c_bitcoin;-7,594381242551817;Lowest
c_market c_around;-3,880809175847509;Lowest
c____ c_bitcoin c_futur;-7,594381242551817;Lowest
c_market c_around c_world;-3,905501788437881;Lowest
c____ c_britain;-7,594381242551817;Lowest
c_custom c_buy;-3,905501788437881;Lowest
c____ c_britain c_health;-7,594381242551817;Lowest
c_price c_drop;-3,9567950828254315;Lowest
c____ c_even;-7,594381242551817;Lowest
c_leak c_us c_nation;-3,9567950828254315;Lowest
c____ c_even c_talk;-7,594381242551817;Lowest
c_leak c_us;-3,9567950828254315;Lowest
c____ c_franc;-7,594381242551817;Lowest
c_document c_leak c_us;-3,9567950828254315;Lowest
c____ c_franc c_auto;-7,594381242551817;Lowest
c_crude c_futur;-3,9567950828254315;Lowest
c____ c_global;-7,594381242551817;Lowest
c_though c_still;-3,9834633299075928;Lowest
c____ c_global c_cyber;-7,594381242551817;Lowest
c_stop c_trade;-3,9834633299075928;Lowest
c____ c_indian c_author;-7,594381242551817;Lowest
c_long c_blockchain;-3,9834633299075928;Lowest
